date,station name,Mean Temperature (F)
2019-01-01,CRETE 4ESE,26.6
2019-01-06,CRETE 4ESE,18.5
2019-01-11,CRETE 4ESE,19.4
2019-01-16,CRETE 4ESE,47.5
2019-01-21,CRETE 4ESE,52.5
2019-01-26,CRETE 4ESE,60.0
2019-01-31,CRETE 4ESE,69.6
2019-02-05,CRETE 4ESE,78.0
2019-02-10,CRETE 4ESE,74.5
2019-02-15,CRETE 4ESE,70.5
2019-02-20,CRETE 4ESE,70.3
2019-02-25,CRETE 4ESE,50.6
2019-03-02,CRETE 4ESE,37.1
2019-03-07,CRETE 4ESE,32.6
2019-03-12,CRETE 4ESE,33.0
2019-03-15,LINCOLN AIRPORT,27.1
2019-03-20,LINCOLN AIRPORT,19.9
2019-03-25,LINCOLN AIRPORT,21.9
2019-03-30,LINCOLN AIRPORT,48.5
2019-04-04,LINCOLN AIRPORT,53.4
2019-04-09,LINCOLN AIRPORT,60.9
2019-04-14,LINCOLN AIRPORT,70.8
2019-04-19,LINCOLN AIRPORT,80.9
2019-04-24,LINCOLN AIRPORT,76.3
2019-04-29,LINCOLN AIRPORT,72.6
2019-05-04,LINCOLN AIRPORT,72.7
2019-05-09,LINCOLN AIRPORT,50.7
2019-05-14,LINCOLN AIRPORT,37.1
2019-05-19,LINCOLN AIRPORT,32.4
2019-05-24,LINCOLN AIRPORT,34.0
2019-05-27,LINCOLN 8 ENE,26.4
2019-06-01,LINCOLN 8 ENE,18.9
2019-06-06,LINCOLN 8 ENE,21.3
2019-06-11,LINCOLN 8 ENE,48.0
2019-06-16,LINCOLN 8 ENE,53.6
2019-06-21,LINCOLN 8 ENE,60.2
2019-06-26,LINCOLN 8 ENE,69.5
2019-07-01,LINCOLN 8 ENE,79.3
2019-07-06,LINCOLN 8 ENE,74.6
2019-07-11,LINCOLN 8 ENE,71.2
2019-07-16,LINCOLN 8 ENE,71.8
2019-07-21,LINCOLN 8 ENE,50.4
2019-07-26,LINCOLN 8 ENE,36.8
2019-07-31,LINCOLN 8 ENE,31.9
2019-08-05,LINCOLN 8 ENE,34.6
2019-08-08,LINCOLN 11 SW,27.0
2019-08-13,LINCOLN 11 SW,19.5
2019-08-18,LINCOLN 11 SW,21.8
2019-08-23,LINCOLN 11 SW,48.4
2019-08-28,LINCOLN 11 SW,52.7
2019-09-02,LINCOLN 11 SW,59.4
2019-09-07,LINCOLN 11 SW,68.9
2019-09-12,LINCOLN 11 SW,78.4
2019-09-17,LINCOLN 11 SW,74.0
2019-09-22,LINCOLN 11 SW,70.2
2019-09-27,LINCOLN 11 SW,71.1
2019-10-02,LINCOLN 11 SW,49.6
2019-10-07,LINCOLN 11 SW,38.6
2019-10-12,LINCOLN 11 SW,32.6
2019-10-17,LINCOLN 11 SW,34.0
2019-10-20,Rogers Farm #1,26.5
2019-10-25,Rogers Farm #1,18.1
2019-10-30,Rogers Farm #1,21.7
2019-11-04,Rogers Farm #1,47.7
2019-11-09,Rogers Farm #1,52.9
2019-11-14,Rogers Farm #1,60.5
2019-11-19,Rogers Farm #1,70.0
2019-11-24,Rogers Farm #1,79.7
2019-11-29,Rogers Farm #1,74.5
2019-12-04,Rogers Farm #1,71.0
2019-12-09,Rogers Farm #1,71.7
2019-12-14,Rogers Farm #1,50.2
2019-12-19,Rogers Farm #1,36.7
2019-12-24,Rogers Farm #1,31.8
2019-12-29,Rogers Farm #1,34.7
